May 28, 2016 at 03:12PM	@isenbardelphine	"Ce projet est communautaire et collaboratif: chacun peut le rejoindre et apporter ses connaissances." @echopenorg @lechappeevolee	http://twitter.com/isenbardelphine/status/736545721437020160
May 28, 2016 at 03:12PM	@pascaleassor	Mehdi Benchoufi et Emilie Mayer vont changer la médecine Echopen, l'échographie sur smartphone ! @ #echappee16	http://twitter.com/pascaleassor/status/736545749970866176
May 28, 2016 at 03:12PM	@sschepens	#echopen l'échographie portable #echappee16 https://t.co/lic8OIetv6	http://twitter.com/sschepens/status/736545771458269185
May 28, 2016 at 03:13PM	@tidalalou	Le projet communautaire Echopen permet de faire des échographies à l'échelle stéthoscopique pour un #accesausoins efficace 🔝 #medecine	http://twitter.com/tidalalou/status/736545839414382592
May 28, 2016 at 03:14PM	@AgenceAlbert	EchOpen = la nvelle echographie #lowcost #opensource #collaborative @mehdi_benchoufi #echappee16 https://t.co/IourBY9vWK	http://twitter.com/AgenceAlbert/status/736546193946365952
May 28, 2016 at 03:14PM	@agence_CLE	Echopen sauve des vies avec l'intelligence collective et 1 échographe de poche, low cost en open source #echappee16 https://t.co/BBoCAK522a	http://twitter.com/agence_CLE/status/736546210132205573
May 28, 2016 at 03:15PM	@mjacouton	Echopen révolutionne l'imagerie médicale par l'open source #echappee16  https://t.co/Ay74w39xXY	http://twitter.com/mjacouton/status/736546446766448640
May 28, 2016 at 03:16PM	@ElisaTavakoli	Vu sur scène, le premier prototype du projet echopen : un échographe miniature. #echappee16 https://t.co/KJLvVGTPUw	http://twitter.com/ElisaTavakoli/status/736546571689598976
May 28, 2016 at 03:26PM	@aufeminin	EchOpen fascinant projet de sonde écho open source pour un diagnostic plus rapide et moins coûteux  #lechappeevolee #espritcardif	http://twitter.com/aufeminin/status/736549211655839746
May 28, 2016 at 03:30PM	@EDFpulse	#Echopen un outil universel et précoce d'accès au diagnostic, un projet #Opensource. #esante #echappee16 https://t.co/GGGJ0tsEph	http://twitter.com/EDFpulse/status/736550207031238656
May 28, 2016 at 03:41PM	@lechappeevolee	#KEYQUOTE Mehdi Benchoufi &amp; Emilie Meyer #médecin #opensource #accèsauxsoins #echostethoscope https://t.co/S0lOKhnsMZ	http://twitter.com/lechappeevolee/status/736553040367456257
